id,question,correct_answer,incorrect_answers,explanation,as_first
10046,Why does food taste bland when you have a stuffy nose?,Most "taste" is actually smell traveling from your mouth up to your nose,"[""Congestion temporarily shuts down your taste buds"",""Saliva stops dissolving flavor molecules when you're sick"",""Your tongue's surface becomes too dry to detect flavors""]","Flavors combine tongue taste with aromas reaching smell receptors through the back of the throat. When your nose is blocked, that aroma shortcut is cut off, and food feels flat.",1
10047,Which sense is least developed at birth in humans?,Vision,"[""Hearing"",""Touch"",""Smell""]",Newborns can only see about 20-30cm clearly; vision develops over the first year as the brain learns to process visual input.,1
10048,What is the hardest substance in the human body?,Tooth enamel,"[""Femur bone"",""Skull"",""Toenails""]","Tooth enamel is made of densely packed mineral crystals, harder than bone and many metals. It is tough enough for a lifetime of chewing, but once it is worn away your body cannot regrow it.",1
10051,What unusual feature does the Eiffel Tower have during the summer?,It grows roughly 6 inches taller,"[""It leans to the north"",""It changes color"",""It becomes magnetic""]","Due to thermal expansion, the iron structure of the Eiffel Tower expands when heated by the summer sun. This can cause the tower's height to increase by up to 15 centimeters (6 inches).",1
10053,What causes mysterious fairy rings—near-perfect circles of mushrooms that appear in lawns and forests?,A single underground fungus growing outward in a ring over time,"[""Seeds dropped in circles by spinning wind vortices"",""Animals marking territory in circular paths"",""Lightning strikes fusing nutrients into ring shapes""]","The visible mushrooms are just the fruiting edges of a much larger fungal network expanding like a ripple. As the center exhausts nutrients, growth only happens on the ring, leaving a pattern that looks almost magical.",0
10054,Why do some people say cilantro (coriander leaves) tastes like soap?,Genetic variation in odor receptors changes how cilantro's smell is perceived,"[""Their tongues are less sensitive"",""Cilantro is mildly toxic"",""They lack bitter taste receptors""]","Variants in an odor receptor gene make some people extra sensitive to certain aldehydes in cilantro. Those same molecules are also found in some soaps, so their brains label the flavor as 'soapy'.",1
10056,What surprising fact about a typical fair-weather cumulus cloud is true despite it floating overhead like cotton?,It can contain hundreds of tons of water while still being held up by rising air,"[""It is almost weightless because water loses mass when it evaporates"",""It is made mostly of frozen hydrogen"",""It floats because Earth's gravity is weaker at that height""]","Clouds are full of countless tiny droplets that together weigh as much as a jumbo jet, but rising warm air keeps them aloft. Realizing how heavy clouds are makes storms feel like moving mountains of water.",1
10059,What actually causes the nostalgic smell of freshly cut grass that many people find relaxing?,Distress chemicals released by damaged plant cells,"[""Natural perfume stored in the roots"",""Chlorophyll evaporating into the air"",""Tiny insects crushed on the blades""]","When grass is cut, broken cells release a mix of volatile organic compounds that scientists believe act as a distress signal. Research indicates that nearby plants can detect these chemical signals and may boost their own defenses against pests. The familiar summer lawn smell that many humans find pleasant is essentially a plant stress response system.",1
10060,"When lightning strikes sandy ground, what unusual glassy structures can it sometimes create underground?",Branching glass tubes called fulgurites,"[""Solid glass boulders the size of cars"",""Thin glass sheets that peel up like tiles"",""Hollow glass spheres that float on water""]","The lightning bolt's heat melts grains of silica and fuses them into glass tubes tracing the discharge path. Fulgurites are like fossilized lightning, capturing a split-second event in rock.",1
10065,Why do astronomers like to say that humans are "made of stardust"?,Most elements in our bodies were forged inside earlier stars,"[""Our bones glow faintly with cosmic radiation"",""Every human contains a tiny fragment of meteorite"",""Human cells naturally form star‑shaped patterns""]","Stars fuse light elements into heavier ones like carbon, oxygen, and iron, then eject them into space when they die. Those recycled atoms later form new stars, planets, and eventually living things like us.",1
10066,"Which parasite is known for reducing a rodent’s fear of cat odor, helping the parasite reach its next host?",Toxoplasma gondii,"[""Giardia lamblia"",""Plasmodium falciparum"",""Tapeworm (Taenia)""]","Toxoplasma can alter behavior in infected rodents, making them bolder around cats. That increases the chance the parasite returns to a cat, where it reproduces. It’s a real example of biology influencing behavior.",0
10069,Why does stubble feel prickly when hair first grows back after shaving?,Cut hairs have blunt tips that feel rough until they wear down or grow longer,"[""Shaving makes each hair grow back thicker permanently"",""New hairs contain tiny barbs that later fall off"",""Hair roots temporarily push through nerves in the skin""]","Shaving slices hairs straight across, so the short regrowth presses its flat ends against your skin. That rough texture creates the illusion that hair is coming back thicker, even though its thickness has not changed.",0
10073,What causes the 'brain freeze' headache when eating cold food too fast?,Blood vessels in the roof of your mouth rapidly constricting then dilating,"[""Your brain actually getting too cold"",""Nerve damage from ice crystals"",""Sudden blood pressure drop""]","Brain freeze happens when cold hits the roof of your mouth, triggering blood vessels to constrict then rapidly dilate. This sends pain signals through the trigeminal nerve. Press your tongue to the roof of your mouth to warm it and stop the pain!",1
10101,Which claim about body heat loss is a common myth?,A fixed 50% of body heat is lost through the head,"[""Heat loss depends on clothing and environment"",""More exposed skin usually means more total heat loss"",""The head is not uniquely responsible for most body heat loss""]","A common myth says that about 50% of body heat is lost through the head. This came from early studies with biased conditions (most of the body was covered, but the head was exposed). In reality, head heat loss is not a fixed percentage and depends on factors like exposed surface area, temperature difference, wind, and clothing.",0
10102,Which planet rotates fastest in the solar system?,Jupiter,"[""Earth"",""Mars"",""Saturn""]","Jupiter's rotation period is about 9.9 hours, the fastest despite its massive size.",0
10104,Which vegetable is actually a flower bud?,Broccoli,"[""Lettuce"",""Cabbage"",""Spinach""]","Broccoli is an unopened flower cluster! If you don't harvest it, those buds bloom into yellow flowers. Artichokes and capers are also flower buds. This explains why broccoli 'flowers' when left too long—because it literally does!",0
10111,"In a typical well-oxygenated gas flame, which part is usually the hottest?",The blue inner region near the tip of the inner cone,"[""The yellow outer flame"",""The red outer edge"",""The wick or fuel source""]","In a well-oxygenated flame, the hottest zone is usually in or just above the blue inner cone, where combustion is most complete. Flame temperature varies by fuel type and oxygen supply, so the answer depends on the kind of flame.",1
10114,What causes airplane cabin air to be so dry?,High altitude air has extremely low humidity,"[""Air conditioning removes moisture"",""Pressurization system dries air"",""Recycled air loses humidity""]","Cabin air is dry because the outside air at cruising altitude contains very little moisture. Even after it is compressed and heated for the cabin, the humidity usually stays low.",0
10115,"Because Earth bulges at the equator and spins, how does your weight on a scale at the equator compare with your weight at the North Pole?",You weigh slightly less at the equator,"[""You weigh slightly more at the equator"",""Your weight is exactly the same"",""It depends only on altitude, not latitude""]","Earth's rotation and equatorial bulge reduce effective gravity a little at low latitudes. It's tiny, but it means location—not just diet—changes what the scale says.",1
10125,What trans-Atlantic process fertilizes the Amazon rainforest with minerals blown from Africa's Bodélé Depression?,Saharan dust plumes,"[""Atlantic upwelling"",""Pacific fog drift"",""Arctic soot fallout""]","Seasonal Saharan dust plumes carry mineral-rich dust across the Atlantic, and part of that dust helps replenish nutrients in the Amazon rainforest.",0
10138,"On Mars, what unusual color do sunsets often appear to human eyes?","Bluish, because dust scatters red light sideways and leaves more blue near the Sun","[""Neon green from intense auroras"",""Pure black because there is no atmosphere"",""Purple from thick methane haze""]","Martian dust is just the right size to scatter red light across the sky while letting more blue travel straight from the Sun. It is the opposite of Earth, where blue light scatters away and sunsets look red or orange.",1
10139,What causes your stomach to growl when you're hungry?,Muscle contractions moving air and fluid,"[""Stomach acid production"",""Digestive gases expanding"",""Blood flow to digestive system""]","Borborygmi (the medical term) occurs when stomach/intestinal muscles contract to move leftover food/gas/fluid. Your brain triggers this every 2 hours, hungry or not! It's just louder when your stomach is empty because there's less food to muffle the sound.",0
10148,"According to astronauts, what does outer space distinctively smell like?",Seared steak or hot metal,"[""Rotten eggs"",""Fresh linen"",""Burnt toast""]","Astronauts returning from spacewalks describe the smell clinging to their suits as 'acrid,' resembling gunpowder, seared steak, or welding fumes. This is likely caused by high-energy atomic oxygen clinging to the fabric.",1
10152,How much would global sea levels rise if Antarctic ice melted?,About 58 meters,"[""About 10 meters"",""About 30 meters"",""About 100 meters""]",The Antarctic ice sheet contains about 90% of global freshwater; complete melting would raise seas 58 meters.,0
10155,Why does metal feel colder than wood at the same temperature?,Metal conducts heat away from your skin faster,"[""Metal actually is colder than wood"",""Metal reflects cold radiation"",""Psychological expectation affects perception""]","Metal and wood can be at the same temperature, but metal conducts heat away from your skin much faster. Your skin senses that faster heat transfer as 'colder.'",1
10156,What causes rainbows to form?,Light refraction and reflection in water droplets,"[""Ice crystal diffraction"",""Atmospheric dust scattering"",""Cloud chemical reactions""]","Sunlight refracts entering water droplets, reflects internally, and refracts again exiting, separating into visible spectrum colors.",0
10157,What is the normal pH level for human blood?,7.35-7.45 (slightly alkaline),"[""7.0 (neutral)"",""6.5-7.0 (slightly acidic)"",""8.0-8.5 (alkaline)""]","Blood maintains a narrow pH range of 7.35-7.45; deviations can be life-threatening, causing acidosis or alkalosis.",0
10158,What is the largest organ in the human body?,Skin,"[""Liver"",""Brain"",""Lungs""]","Skin accounts for about 16% of body weight, covering about 2 square meters.",1
10160,Which planet would float if you could find a bathtub big enough?,Saturn (less dense than water),"[""Jupiter"",""Uranus"",""Neptune""]","Saturn's density is 0.687 g/cm³—less than water (1.0 g/cm³)—so it would float! This is because it's mostly hydrogen and helium gas. Of course, finding a bathtub bigger than Earth, or water that doesn't boil in space, might be challenging. Saturn is the only planet less dense than water!",1
10166,What percentage of body weight is the human brain?,About 2%,"[""About 10%"",""About 5%"",""About 15%""]",The brain is only 2% of body weight but consumes 20% of the body's energy and oxygen.,0
10170,"Most rocks sink, but some, such as pumice, can float. Why?","Because they contain many air-filled pores, making their overall density lower than water","[""Because dissolved minerals in water push them upward"",""Because their mineral structure repels water"",""Because warm water can hold them up better""]","Rocks like pumice form with lots of tiny holes that trap air. This lowers their overall density below that of water, so they can float.",1
10172,Which sense contributes most to what we perceive as flavor?,Smell,"[""Taste"",""Sight"",""Touch""]","What we think of as flavor depends heavily on smell, while the tongue detects only basic tastes such as sweet, salty, sour, bitter, and umami.",1
10174,How long does it take for light from the Sun to reach Earth?,About 8 minutes and 20 seconds,"[""About 1 minute"",""About 15 minutes"",""Instantly""]","Light travels at 300,000 km/second, covering the 150 million km to Earth in 8 minutes 20 seconds. This means you see the Sun as it was 8 minutes ago! If the Sun vanished, we wouldn't know for 8+ minutes.",0
10180,What is the idea behind a coffee nap for boosting alertness?,Drink coffee and then take a short nap so caffeine kicks in as you wake up,"[""Mix coffee with a sedative herb to balance energy"",""Replace all sleep with alternating coffee and meditation"",""Only drink coffee in the hour before bedtime""]","Caffeine takes around 20 minutes to reach peak levels in the brain and blocks the sleepiness chemical adenosine. A brief nap clears some adenosine first, then the caffeine arrives, giving a double lift. It feels counterintuitive, but sleeping right after coffee can leave you more awake afterward.",1
10182,What is the speed of light in a vacuum?,"Approximately 300,000 km/s","[""Approximately 150,000 km/s"",""Approximately 500,000 km/s"",""Approximately 1,000,000 km/s""]","Light travels at exactly 299,792,458 meters per second in a vacuum, the universe's ultimate speed limit.",0
10184,How does the temperature of a lightning bolt compare with the surface of the Sun?,A lightning bolt is several times hotter than the Sun's surface,"[""Lightning is much cooler than the Sun"",""They are about the same temperature"",""Lightning and the Sun's surface are too extreme to compare""]","The Sun's surface is around 5,500°C, while a lightning channel can reach roughly 30,000°C. That extreme heat lasts only a flash, but it shows how violent energy can be in a thunderstorm.",1
10185,Where is most of Earth's freshwater actually stored?,"Locked in ice sheets and glaciers, plus groundwater deep underground","[""In rivers and lakes we can see"",""In the atmosphere as clouds and humidity"",""In living things like plants and animals""]","Visible rivers and lakes hold only a tiny slice of Earth's freshwater. Most of it is frozen or buried, which explains why a water-rich planet can still face drinking-water shortages.",1
10190,Why can spicy foods make your nose run?,Capsaicin activates pain receptors that can trigger mucus production,"[""Spices lower your body temperature through the nasal passages"",""Hot food melts mucus that was already trapped in the nose"",""Your body mistakes spicy food for an infection""]","Capsaicin, the compound that makes chili peppers feel hot, stimulates pain receptors and can trigger a runny nose as part of the body's response.",1
10194,"Genetically, how similar are any two humans on average?",About 99.9% of their DNA is the same,"[""About 90% the same"",""Only about half the same"",""About 95% the same""]","Most variation between people comes from tiny differences scattered across the genome. That 0.1% is enough for uniqueness, but the 99.9% shows how closely related all humans are.",0
10196,Which metal is so soft you can cut it with a knife but must store it under oil because it reacts violently with water?,Sodium,"[""Iron"",""Aluminum"",""Copper""]","Pure sodium is a silvery metal that tarnishes and reacts quickly, especially with water. Keeping it under oil keeps air and moisture away from its surface.",0
10198,"Which underground detector uses 50,000 tons of ultrapure water and thousands of photomultipliers to spot the faint flashes made when neutrinos hit?",Japan's Super-Kamiokande observatory,"[""The Chandra X-ray Observatory"",""The IceCube telescope in Antarctica"",""The Hubble Space Telescope""]","Super-K sits inside a mountain and watches for Cherenkov rings—cones of blue light created when neutrino debris outruns light in water. It proved neutrinos oscillate between flavors, earning a Nobel Prize for showing these ghost particles have mass. It's essentially a cathedral-sized night-vision camera underwater.",0
10203,What is the largest bone in the human body?,Femur (thighbone),"[""Tibia"",""Humerus"",""Fibula""]","The femur is the longest and strongest bone, supporting the body's weight and enabling bipedal movement.",0
10206,What atmospheric phenomenon occurs when charged solar particles energize gases near Earth's poles?,Auroras,"[""Solar eclipses"",""Halo arcs"",""Noctilucent clouds""]","Auroras glow when energetic particles guided by Earth's magnetic field collide with atmospheric gases, causing them to emit light in polar skies.",0
10207,"Which metal can you hold as a solid and watch slowly melt in your warm hand, because its melting point is just above room temperature?",Gallium,"[""Mercury"",""Sodium"",""Aluminum""]","Gallium melts at about 30°C, so body heat can liquefy a small chunk in your palm. It's a playful demo of phase changes that makes metal feel almost like ice cream.",1
10210,How does a Venus flytrap know the struggling bug in its maw is worth digesting?,"It counts touches: two close the trap, and around five total trigger digestion.","[""It tastes chitin with special sap receptors"",""It senses carbon dioxide exhaled by prey"",""It waits exactly 30 seconds for movement to stop""]",Only when two hairs fire within 20 seconds does the trap snap shut; additional twitches spark an electrical burst that pumps in digestive enzymes. That math prevents the plant from wasting energy on raindrops or debris. It's a botanical security system with a built-in motion counter.,1
10212,Which organism turns ants into "zombies" by hijacking their behavior and making them clamp onto vegetation before it sprouts from their bodies?,Cordyceps fungus,"[""Leech"",""Tapeworm"",""Malaria parasite""]",Some Cordyceps fungi alter an ant's behavior so it dies in a position that helps the fungus spread its spores.,0
10221,Why does orange juice taste especially awful right after you brush your teeth?,A detergent in toothpaste suppresses sweet receptors and boosts bitter flavours on your tongue,"[""Fluoride in toothpaste reacts to make the juice acidic"",""Cold water from brushing freezes taste buds"",""Mint chemically turns vitamin C into a bitter compound""]","Many toothpastes contain sodium lauryl sulfate, a detergent that temporarily shuts down sweet taste receptors and disrupts protective fats on your tongue. That makes bitter compounds in orange juice suddenly stand out. It is a tiny chemistry lesson hiding in an everyday 'why does this taste so bad' moment.",1
10222,What is the actual color of the sun?,White,"[""Yellow"",""Orange"",""Red""]","The Sun emits all colors of the visible spectrum almost equally, which combines to form white. Our atmosphere scatters blue light, making the Sun appear yellow to us.",1
10223,Which statement about your adult skeleton is accurate?,Bone tissue is constantly broken down and rebuilt throughout adult life,"[""Bones are completely inert once you stop growing"",""All of your bones are replaced every month"",""Bone cells never communicate with the rest of your body""]","Specialized bone cells dissolve old bone while others lay down new mineral, like a construction crew working nonstop. This remodeling lets your skeleton repair micro-cracks and adapt to the stresses you put on it.",0
10230,Where does the oxygen produced in photosynthesis come from?,Water molecules,"[""Carbon dioxide"",""Air"",""Soil""]","Photosynthesis splits water molecules (H₂O) to release oxygen, fixing carbon into glucose.",0
10231,Why is Surtsey Island off Iceland closed to tourists and open only to tightly controlled scientific access?,It's a pristine lava island where researchers watch ecosystems colonize from scratch,"[""Its lava flats still emit lethal gases"",""A NATO radar station occupies the entire island"",""It houses a seed vault that bans visitors""]","Born from a 1960s eruption, Surtsey lets biologists document the exact order in which winds, waves, and birds deliver seeds and insects to blank basalt. Even dropping a sandwich crumb is discouraged because it could skew decades of data. It's evolution in live broadcast.",1
10241,What causes the 'cotton mouth' feeling when you're nervous or scared?,Fight-or-flight response reduces saliva production,"[""Rapid breathing dries mouth"",""Increased tongue temperature"",""Anxiety dehydrates tissues""]",Your sympathetic nervous system prioritizes blood flow to muscles over digestion during stress. Saliva production drops dramatically—your body thinks survival trumps eating! This is why public speakers get dry mouth. Evolution didn't account for PowerPoint presentations.,0
10242,Why does scrolling on your phone in bed often make it harder to fall asleep?,"Screen light, especially blue-rich light, can suppress melatonin and keep you more alert before sleep","[""The phone processor heats your brain"",""Wi Fi signals keep the brain electrically active"",""Blinking pixels exhaust your eye muscles""]","Research shows that blue-wavelength light signals to the brain that it is daytime, which can suppress the production of melatonin, a hormone that promotes sleep. This can delay your circadian rhythm, making you feel more alert when you intend to wind down. Scientific studies have demonstrated that exposure to screen light before bed can interfere with natural sleep patterns, though individual sensitivity varies.",1
10246,What causes the 'pins and needles' sensation when a limb 'falls asleep'?,Nerve compression interrupting signals,"[""Muscle cramps"",""A buildup of lactic acid"",""Permanent damage to blood vessels""]","Paresthesia occurs when sustained pressure compresses nerves, disrupting electrical signals; the sensation often appears as pressure is released and normal signaling returns.",1
10252,What simple organism has famously been used in lab experiments to solve mazes and even trace efficient rail networks between cities?,Slime mold that spreads out and retracts to find the shortest paths,"[""Paramecia moving through channels toward food"",""Termites building soil tunnels"",""Algae colonies grown in branching patterns""]","Slime molds send out tendrils in all directions, then reinforce the routes that bring food back fastest. Without a brain, they still approximate solutions to complex network problems that challenge human engineers.",1
10253,What is Earth's inner core primarily composed of?,Iron and nickel,"[""Silicon and magnesium"",""Carbon and oxygen"",""Aluminum and calcium""]","The core is an iron-nickel alloy at 5,000-7,000°C, comparable to the Sun's surface temperature.",0
10258,Why do coins sometimes leave a “metallic” smell on your hands even though metal itself doesn’t smell?,Skin oils react to form odorous aldehydes and ketones,"[""Metal evaporates into the air"",""Bacteria eat the metal and release gas"",""Your nose detects magnetism""]","Touching metal can catalyze reactions in skin oils that make smelly compounds. The “metal smell” is really you, not the coin. It’s a fun sensory illusion to share.",0
10265,"If you could fold an ordinary sheet of paper in half 42 times, about how far would its thickness reach?",Roughly the distance from Earth to the Moon,"[""Only about a meter high"",""About as tall as a skyscraper"",""Halfway to the edge of Earth's atmosphere""]","Each fold doubles the thickness, so after only a few dozen folds the height grows astronomically. That exponential growth shows how quickly doubling processes can explode from tiny beginnings.",1
10268,Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,"[""Vitamin A"",""Vitamin C"",""Vitamin E""]","UVB rays trigger vitamin D synthesis in skin, crucial for calcium absorption and immune function.",0
10269,Which internal organ is best known for its remarkable ability to regenerate after partial removal?,Liver,"[""Heart"",""Brain"",""Kidneys""]","The liver is well known for its ability to regrow after partial removal, with the remaining tissue often restoring much of the lost mass over the following weeks.",1
10276,Why do we get goosebumps when we are cold?,"Tiny muscles contract, making hairs stand up to trap air and slow heat loss.","[""Our skin is trying to become waterproof"",""Our bodies signal a fever is coming"",""It means we are about to sneeze""]",The reaction is a leftover from when thicker hair helped maintain warmth.,0
10279,What is the best-supported explanation for why your fingers wrinkle after soaking in water?,A nervous system response that may improve grip in wet conditions,"[""Dead skin simply absorbs water and swells"",""Osmosis equalizes water inside the skin"",""Body heat causes the skin surface to contract""]","Finger wrinkling after soaking is thought to be an autonomic nervous system response rather than simple water absorption, and research suggests it may help improve grip in wet conditions.",1
10280,What percentage of your body's bones are in your feet?,About 25% (52 out of 206 bones),"[""About 10%"",""About 15%"",""About 35%""]","Each foot contains 26 bones—totaling 52 for both feet, or one-quarter of your 206 bones. This complex architecture evolved to absorb the impact of walking 100,000+ miles in a lifetime.",1
10282,Which blood type is known as the universal donor?,O negative,"[""AB positive"",""A positive"",""O positive""]","O negative blood lacks A, B, and Rh antigens, making it compatible with all blood types in emergencies.",0
10283,Why do some bamboo species seem to bloom in sync even when planted on different continents?,They inherit genetic timers that trigger flowering after a fixed number of years,"[""They react to lunar eclipses"",""They listen for cicada choruses"",""They wait for volcanic ash""]","Some bamboo species flower after very long genetically programmed intervals, which can keep distant plants synchronized even when grown on different continents.",1
10287,"Botanically speaking, which of these common fruits is actually a true berry?",Banana,"[""Strawberry"",""Raspberry"",""Blackberry""]","In botany, a true berry develops from a single flower's ovary and has seeds inside the flesh, which bananas do. Strawberries and raspberries are aggregate fruits made from many tiny merged fruits, so the names trick us.",0
10289,Why does a cactus open its stomata at night instead of during the day?,It stores CO₂ in a chemical form overnight so it can photosynthesize during the day without losing water.,"[""It only performs photosynthesis when it is cool"",""It shuts down completely while the sun is out"",""It relies on moonlight for energy""]","The CAM pathway captures gas at night when humidity is higher, letting the plant stay hydrated while still making food in daylight.",0
10291,What is the smallest bone in the human body?,Stapes (in the ear),"[""Hyoid (in the throat)"",""Patella (kneecap)"",""Phalanx (finger bone)""]","The stapes (stirrup bone) in the middle ear is only 2.8mm long, essential for transmitting sound vibrations.",1
10299,What is the only planet in our solar system not named after a god?,Earth,"[""Mars"",""Venus"",""Uranus""]",The names of the other planets are derived from Roman or Greek mythology. Earth's name comes from Old English and Germanic words meaning 'ground'.,1
10302,Do identical twins have identical fingerprints?,No—fingerprints differ because tiny womb conditions shape them,"[""Yes, their fingerprints match exactly"",""Only their thumbprints differ"",""They share fingerprints until age 10, then they diverge""]","Fingerprints form from random stresses and movements in the womb, not just DNA. Identical twins start with the same genes but end up with unique ridge patterns like individual barcodes.",1
10305,"Besides flags and footprints, what scientific device did Apollo astronauts leave on the Moon that researchers still use today?",Reflector panels that bounce lasers back to measure distance precisely,"[""A radiation monitor that still broadcasts data to Earth"",""Wind turbines to test power generation in vacuum"",""Miniature telescopes aimed back at Earth""]",Apollo missions installed arrays of corner cube reflectors on the lunar surface. Observatories fire lasers at them and time the round trip to track the Earth Moon distance to within millimeters. It is a long running physics experiment hidden inside a famous spaceflight story.,1
10308,Which sense is most directly linked to memory and emotion?,Smell (olfaction),"[""Sight"",""Hearing"",""Touch""]","The olfactory bulb connects directly to the hippocampus and amygdala, explaining why scents trigger vivid memories.",1
10312,What sleep disorder causes people to act out dreams physically?,REM Sleep Behavior Disorder,"[""Sleepwalking (somnambulism)"",""Sleep paralysis"",""Narcolepsy""]","REM Sleep Behavior Disorder happens when the normal muscle paralysis of REM sleep does not occur, causing people to physically act out dreams.",0
10315,Why does the Moon always show the same face to observers on Earth?,It is tidally locked and rotates once per orbit so the same side always faces Earth,"[""It does not rotate at all"",""Earth gravity froze its crust on one side"",""The far side is permanently dark and cannot turn""]","Over billions of years, Earth's gravitational forces gradually slowed the Moon's rotation until it matched its orbital period, a phenomenon called tidal locking. The Moon still rotates on its axis, but completes exactly one rotation per orbit around Earth, which means the same hemisphere always faces us.",1
10323,What causes the "burn" you feel in your nose and throat when drinking fizzy soda water?,"Carbonic acid and CO2 bubbles activating pain receptors, not just sharp bubbles","[""Microscopic cuts from ice crystals in the drink"",""Tiny electrical shocks from dissolved minerals"",""Rapid freezing of the throat tissues""]","Enzymes in your mouth turn dissolved carbon dioxide into carbonic acid, which tickles nerve endings that normally sense pain. That mild irritation is part of why carbonation feels exciting instead of just like flat water.",1
10325,"Fungi like mushrooms and molds belong to their own kingdom of life. On the evolutionary tree, which kingdom are they actually closer to?",Animals,"[""Plants"",""Bacteria"",""Archaea""]","Genetic studies show fungi share a more recent common ancestor with animals than with plants. That means mushrooms are, in a sense, 'closer cousins' to us than to the trees they grow on.",1
10327,"Which organ can be removed entirely, with other body systems partly compensating for its function?",Spleen,"[""Liver"",""Stomach"",""Pancreas""]","The spleen helps filter blood and support immune function, but people can survive without it because other organs partly take over some roles. People without a spleen do face a higher infection risk and often need extra vaccinations.",1
10329,Why do you have a small "blind spot" in each eye where you can't see anything?,"It's where the optic nerve exits, and there are no light‑sensing cells there","[""It's a scar from birth that never fully heals"",""It's caused by the lens casting a shadow on the retina"",""It's the area used only for night vision""]","At that spot, nerve fibers bundle together to leave the eyeball, so there are no rods or cones. Your brain fills in the missing patch using surrounding detail, so you normally never notice it.",1
10331,What causes your muscles to feel sore 1-2 days after exercise?,Microscopic muscle damage triggering inflammation (delayed onset muscle soreness),"[""Lactic acid buildup"",""Oxygen debt in tissues"",""Dehydration of muscle fibers""]","The soreness is delayed because inflammation and repair take time to build after exercise, so it usually peaks 1-2 days later rather than immediately.",0
10333,Which body part has the same number of bones as a giraffe's neck?,Human neck (both have 7 vertebrae),"[""Mouse neck"",""Elephant trunk"",""Snake spine""]","Humans and giraffes both have exactly 7 neck vertebrae! The difference? Giraffe vertebrae are each 10 inches long. Almost all mammals—from tiny mice to massive whales—have 7 neck bones. Evolution stretched the bones, not added more. This shows how body plans are conserved across species!",0
